/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,0.31,0.80,,0.20,,0.20,,,1.10,,w.PP,,,,,,,,,7.914,,,5.018,,,,0.72,0.52,,0.40,,,,1.14,,9.117,,,,,,,,1.02,,0.41,,w.PP,,1.25,25.8107,,,39.6175,,,,,,,0.72,0,,1989-10-29,,,1989 general election,13.8,,69.7,
,0.11,,,,,,,,,,w.PP,,,,,,,,,8.112/14,,,5.218,,,,0.71,0.62,,,,,,1.14,,9.018/20,,,,,,,,1.32,,0.51,,w.PP,,1.35,24.0103/105,,,40.8173/176,,,,,,,0.52,1,,1989-10-29,,,PSOE[p 1],16.8,,68,
,?1,?0,,?0,,?0,,,?0,,w.PP,,,,,,,,,?12/14,,,?17/19,,,,?1,?2,,?0/1,,,,?4/5,,?16/18,,,,,,,,?1,,?0/1,,w.PP,,?6,?100/103,,,?177/180,,,,,,,?1,2,,1989-10-29,,,Metis/RTVE[p 2][p 3][p 4],,40000.0,,
,?1,?0,,?0,,?0,,,?0,,w.PP,,,,,,,,,?6/7,,,?18/19,,,,?2,?2,,?1,,,,?5,,?22/25,,,,,,,,?1/2,,?0/1,,w.PP,,?5/6,?99/101,,,?181/185,,,,,,,?2,3,,1989-10-29,,,Opina[p 2][p 3],,,,
,?0/1,?0,,?0,,?0,,,?0,,w.PP,,,,,,,,,?11/15,,,?18,,,,?2,?2,,?0,,,,?6/7,,?20/26,,,,,,,,?1/2,,?1,,w.PP,,?5/6,?91/97,,,40.1176/182,,,,,,,?1,4,,1989-10-29,,,Demoscopia/Cadena SER[p 2][p 3][p 5],,91451.0,,
,?1,?0,,?0,,?0,,,?0,,w.PP,,,,,,,,,?14/16,,,?18,,,,?1/2,?1/2,,?0,,,,?5/6,,?17/18,,,,,,,,?2/3,,?1,,w.PP,,?5/6,?102/106,,,?177/181,,,,,,,?0/1,5,,1989-10-29,,,Sigma Dos/COPE[p 2][p 3],,,,
,?1/2,,,,,,,,?1,,w.PP,,,,,,,,,?23/27,,,?16/17,,,,?2/3,?1/2,,?1,,,,?6,,?19/21,,,,,,,,?3,,?0/1,,w.PP,,?4/5,?92/99,,,?164/173,,,,,,,?2,6,,1989-10-22,,,Eco Consulting/Levante-EMV,,,,
,?1,?3,,?0/1,,?0/1,,,,,w.PP,,,,,,,,,?19,,,?17/18,,,,?1,?3,,?1,,,,?5,,?16/17,,,,,,,,?3,,?1,,w.PP,,?7,?92/99,,,?172/179,,,,,,,?1,7,,1989-10-22,,,Metra Seis/El Independiente[p 6],,,,
,,,,,,,,,,,w.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w.PP,,,?105,,,?167/175,,,,,,,,8,,1989-10-22,,,PP[p 7],,,65,
,?1,,,,,?0/1,,,?2/3,,w.PP,,,,,,,,,8.518/21,,,4.917/19,,,,?0/1,0.52,,,,,,1.27,,10.322/26,,,,,,,,?4,,?1,,w.PP,,1.47,19.187/91,,,40.5174/178,,,,,,,?1,9,,1989-10-19,,,ICP–Research/Diario 16[p 8][p 9],21.4,9524.0,,
,0.11,2.20/1,,0.40/1,,,,,2.70/1,,w.PP,,,,,,,,,6.514/15,,,4.517/18,,,,1.02/3,0.81/2,,0.90/1,,,,1.03,,7.513,,,,,,,,1.23/4,,0.11,,w.PP,,1.97/8,25.0104/107,,,41.5172/178,,,,,,,0.60/1,10,,1989-10-18,,,Opina/La Vanguardia[p 10][p 11],16.5,3262.0,70,
,,,,,,,,,,,w.PP,,,,,,,,,8.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,w.PP,,,21.0,,,40.0,,,,,,,,11,,1989-10-17,,,PSOE[p 12],19.0,,,
