,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Unity_for_the_Isles,AIC,AP,AP-PDP-PL,AP–PDP,ARM,Amaiur logo.svg,Aralar,BNG,BNG–Nós,C's,CC,CDC,CDS,CG,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,LV,Lead,Més,NCa,NI/IC,NaBai,PA,PACMA,PAP,PAR,PCE,PDeCAT,PIB,PNV,PP,PRC,PRD,PSG–EG,PSM,PSOE,Podemos,Turnout,UCD,UIB,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,size,Party_poll,Newspaper_poll,Polling_firm,Number_polling_firms
1,,,0.51,,24.0103,,,,0.11,,,,,,,0.0,,,,,8.112,,,,5.218,,,,,0.62,,,,,,1.14,,9.018,,,,,16.8,,,,,1.32,,,0.52,,,,1.35,0.0,,,,,64.8276,0.0,68,,,,,0.71,1,,1989-10-29,,,PSOE,,True,,PSOE,1
2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,2,,1989-10-29,,,Metis/RTVE,40000.0,False,RTVE,Metis,1
3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,3,,1989-10-29,,,Opina,,False,,Opina,1
4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,40.1176,0.0,,,,,,,4,,1989-10-29,,,Demoscopia/Cadena SER,91451.0,False,Cadena SER,Demoscopia,1
5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,5,,1989-10-29,,,Sigma Dos/COPE,,False,COPE,Sigma Dos,1
6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,6,,1989-10-22,,,Eco Consulting/Levante-EMV,,False,Levante-EMV,Eco Consulting,1
7,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,7,,1989-10-22,,,Metra Seis/El Independiente,,False,El Independiente,Metra Seis,1
8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,65,,,,,,8,,1989-10-22,,,PP,,True,,PP,1
9,,,,,19.187,,,,,,,,,,,0.0,,,,,8.518,,,,4.917,,,,,0.52,,,,,,1.27,,10.322,,,,,21.4,,,,,,,,,,,,1.47,0.0,,,,,59.70440000000001,0.0,,,,,,,9,,1989-10-19,,,ICP–Research/Diario 16,9524.0,False,Diario 16,ICP–Research,2
10,,,0.11,,25.0104,,,,0.11,,,,2.7,,,0.0,,,,,6.514,0.4,,,4.517,,,,,0.81,,0.9,,,,1.03,,7.513,,,,2.2,16.5,,,,,1.23,,,0.6,,,,1.97,0.0,,,,,66.5276,0.0,70,,,,,1.02,10,,1989-10-18,,,Opina/La Vanguardia,3262.0,False,La Vanguardia,Opina,1
11,,,,,21.0,,,,,,,,,,,0.0,,,,,8.0,,,,,,,,,,,,,,,,,9.0,,,,,19.0,,,,,,,,,,,,,0.0,,,,,61.0,0.0,,,,,,,11,,1989-10-17,,,PSOE,,True,,PSOE,1
12,,,0.31,,24.2103,,,,0.32,,,,1.91,,,0.0,,,,,10.323,,,,4.917,,,,,0.62,,0.41,,,,1.15,,8.016,,,,1.82,15.0,,,,,1.22,,,0.31,,,,1.45,0.0,,,,,63.427099999999996,0.0,,,,,,0.51,12,,1989-10-17,,,Sigma Dos/El Mundo,8400.0,False,El Mundo,Sigma Dos,1
13,,,,,23.695,,,,,,,,2.1,,,0.0,,,,,9.32,,,,4.817,,,,,0.62,,,,,,1.0475,,7.514,,,,1.8,16.5,,,,,1.22,,,,,,,1.15,0.0,,,,,63.8123,0.0,70,,,,,0.61,13,,1989-10-17,,,Gruppo/Colpisa,1500.0,False,Colpisa,Gruppo,1
14,,,,,22.895,,,,,,,,1.2,,,0.0,,,,,9.116,,,,5.018,,,,,0.72,,,,,,1.04,,8.015,,,,,18.8,,,,,,,,,,,,1.55,0.0,,,,,64.5126,0.0,68,,,,,0.41,14,,1989-10-15,,,Demoscopia/El País,6200.0,False,El País,Demoscopia,1
15,,,,,24.01,,,,0.11,,,,3.3,,,0.0,,,,,9.018,0.51,,,4.818,,,,,1.02,,0.71,,,,0.52,,8.815,,,,,17.0,,,,,1.43,,,0.7,,,,2.07,0.0,,,,,65.02720000000001,0.0,67,,,,,1.01,15,,1989-10-11,,,Opina/La Vanguardia,2800.0,False,La Vanguardia,Opina,1
16,,,,,20.0,,,,,,,,,,,0.0,,,,,8.0,,,,,,,,,,,,,,,,,6.0,,,,,20.0,,,,,,,,,,,,,0.0,,,,,60.0,0.0,,,,,,,16,,1989-10-06,,,PSOE,,True,,PSOE,1
17,,,,,24.195,,,,,,,,2.0,,,0.0,,,,,9.018,,,,4.716,,,,,0.72,,,,,,1.15,,7.414,,,,1.8,14.2,,,,,1.23,,,,,,,1.15,0.0,,,,,62.5123,0.0,67–72,,,,,0.72,17,,1989-10-01,,,Gruppo/Colpisa,1500.0,False,Colpisa,Gruppo,1
18,,,,,23.893,,,,,,,,1.2,,,0.0,,,,,7.314,,,,4.617,,,,,0.6,,,,,,0.93,,8.714,,,,,18.3,,,,,,,,,,,,1.15,0.0,,,,,66.0108,0.0,68,,,,,0.3,18,,1989-09-30,,,Demoscopia/El País,6200.0,False,El País,Demoscopia,1
19,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,19,,1989-09-27,,,CIS,2482.0,False,,CIS,1
20,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,20,,1989-09-22,,,Tribuna,,False,,Tribuna,1
21,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,60,,,,,,21,,1989-09-22,,,AEB/Cinco Días,,False,Cinco Días,AEB,1
22,,,,,22.3,,,,,,,,,,,0.0,,,,,9.2,,,,5.0,,,,,0.6,,,,,,1.0,,8.0,,,,,15.9,,,,,,,,,,,,1.3,0.0,,,,,60.5,0.0,,,,,,0.5,22,,1989-09-22,,,Metra Seis/El Independiente,13950.0,False,El Independiente,Metra Seis,1
23,,,,,20.2,,,,,,,,,,,0.0,,,,,9.1,,,,4.7,,,,,,,,,,,1.4,,10.0,,,,,18.0,,,,,,,,,,,,1.3,0.0,,,,,58.400000000000006,0.0,,,,,,,23,,1989-09-19,,,ICP–Research/Diario 16,1600.0,False,Diario 16,ICP–Research,2
24,,,,,21.096,,,,,,,,,,,0.0,,,,,9.018,,,,,,,,,,,,,,,,,8.012,,,,,22.0,,,,,,,,,,,,,0.0,,,,,64.1138,0.0,,,,,,,24,,1989-09-14,,,CIS,27421.0,False,,CIS,1
25,,,,,22.5,,,,,,,,,,,0.0,,,,,10.0,,,,4.5,,,,,0.7,,,,,,1.0,,8.0,,,,,15.0–15.5,,,,,,,,,,,,1.0,0.0,,,,,60.5,0.0,,,,,,0.6,25,,1989-09-08,,,Sigma Dos/Tiempo,800.0,False,Tiempo,Sigma Dos,1
26,,,,,22.894,,,,,,,,,,,0.0,,,,,8.418,,,,3.815,,,,,0.62,,,,,,0.83,,7.612,,,,,20.2,,,,,2.04,,,,,,,1.03,0.0,,,,,65.9125,0.0,,,,,,,26,,1989-09-08,,,Iope–Etmar/El Periódico,1483.0,False,El Periódico,Iope–Etmar,2
