,firm,date,size,lead,PSOE,PP,IU,CDS,CiU,PNV,HB,PA,lead,UV,EA,EE,ERC,PAR,CC,lead,UA,UPCA,lead,lead
0,1993 general election,6 Jun 1993,,76.4,38.8159,34.8141,9.618,1.80,4.917,1.25,0.92,0.40,0.80,0.51,0.51,w.PSOE,0.81,0.61,0.94,0.50,0.10,0.10,0.20,4.0
1,Interior Ministry[p 1],6 Jun 1993,?,?,?158/162,?136/141,–,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,?
2,PSOE[p 2],6 Jun 1993,?,75,37.5150,34.1142,–,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,3.4
3,Demoscopia/Cadena SER[p 3][p 4][p 5],6 Jun 1993,?,?,37.1140/154,34.4139/154,10.218/23,?0,5.017/18,?6,0.63,–,–,–,–,w.PSOE,1.11/3,–,–,–,–,–,–,2.7
4,Eco Consulting/RTVE[p 3][p 4][p 5],6 Jun 1993,250000,?,?139/155,?134/148,?20/23,?0,?18/20,?6/7,?3/5,–,–,–,–,w.PSOE,?1/3,–,–,–,–,–,–,?
5,Sigma Dos/Tele 5[p 3][p 4][p 5],6 Jun 1993,30000,?,?143,?146,?22,?0,?19,?6,?4,–,–,–,–,w.PSOE,?1,–,–,–,–,–,–,?
6,Motivación/COPE[p 3],6 Jun 1993,31000,?,?145,?146,–,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,?
7,Gallup/Ya[p 5][p 6],30 May 1993,6050,70.2,32.1134/139,33.0140/147,10.623,2.60,5.621,1.48,1.04/5,–,–,0.92,0.51,w.PSOE,0.71,–,0.84,–,–,–,0.52,0.8
8,Opina/La Vanguardia[p 7],26–27 May 1993,2000,?,35.0142/146,35.6144/148,11.424/25,2.10/1,5.018/19,1.36/7,–,–,–,–,–,w.PSOE,0.90/1,–,–,–,–,–,–,0.6
9,Vox Pública–Iope/El Periódico[p 6][p 8],25–27 May 1993,8148,74.8,34.5133/152,32.5134/151,10.119/24,2.30/1,5.519/21,1.56/7,1.13/4,0.70,–,0.92/3,0.71/3,w.PSOE,0.71,–,1.04/6,0.51/2,–,–,0.51,2.0
10,Sigma Dos/El Mundo[p 5][p 6],24–27 May 1993,13200,?,34.6132/141,35.9147/155,11.425/28,1.40,4.917/19,1.35/6,1.03/4,0.50,–,0.51,0.82/3,w.PSOE,0.71,?1,0.63,0.30,–,–,0.31,1.3
11,Diario 16[p 9],26 May 1993,?,?,33.9,35.5,–,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,1.6
12,Demoscopia/El País[p 6][p 10][p 11],20–26 May 1993,11000,73,34.5135/151,34.8141/155,10.720/22,2.40/1,5.018/20,1.46,0.82/3,–,–,0.62,0.52,w.PSOE,0.71,?1,0.73,0.50/1,?0/1,–,–,0.3
13,Gruppo/ABC[p 12],23–25 May 1993,5000,?,35.0134/144,35.8144/153,12.126/28,–,4.916/17,1.66/7,1.03,–,–,0.51,0.82/3,w.PSOE,0.61,0.30/1,0.63/4,–,–,–,0.31,0.8
14,ICP–Research/Diario 16[p 5][p 6],21–24 May 1993,10000,76.5,33.5137/145,32.8141/149,10.619/24,3.01/2,5.117/19,1.37/8,?3/4,–,–,?1,?0/1,w.PSOE,?1/2,–,?3/4,?0/1,–,–,–,0.7
15,Sigma Dos/El Mundo[p 5][p 6][p 13],23 May 1993,3000,?,34.0134/143,35.2144/153,12.626/29,1.50,5.018/19,1.56/7,1.03/4,0.60,–,0.51,0.71/2,w.PSOE,0.61/2,–,0.52/3,0.30,–,–,0.41,1.2
16,CIS[p 9][p 14],14–19 May 1993,2496,71.3,33.8,33.8,12.2,1.5,5.9,1.6,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,Tie
17,Vox Pública–Iope/El Periódico[p 6][p 15],14–18 May 1993,6415,78.5,35.0139/150,30.7130/143,10.119/27,2.40/2,5.618/20,1.56/8,0.92/4,–,–,0.72,0.61/2,w.PSOE,0.61,–,0.93/5,0.90/1,–,–,0.51,4.3
18,ICP–Research/Diario 16[p 6][p 16],14–17 May 1993,1000,75.7,35.0,33.0,10.7,3.1,5.1,1.3,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,2.0
19,Ábaco/El Correo[a][p 17],14–16 May 1993,15000,?,31.0119/132,33.5149/172,11.223/28,2.51,4.719,1.65,?4,?1,?0/1,?1,?2/3,w.PSOE,?1,?1,?1,–,?1,–,–,2.5
20,Sigma Dos/El Mundo[p 5][p 6][p 18],11–13 May 1993,10200,?,34.8134/142,35.3147/155,12.425/28,1.40,5.017/20,1.56/7,1.02/4,0.40,–,0.50,0.71/2,w.PSOE,0.71,–,0.51/3,0.30,–,–,0.31,0.5
21,Opina/La Vanguardia[p 19],10–12 May 1993,2000,?,36.6147/152,35.7143/147,10.121/22,2.00/1,5.118/19,1.45/6,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.9
22,Gruppo/ABC[p 20][p 21],8–11 May 1993,5000,?,34.1134/147,35.1140/150,12.927/29,2.00,4.917/18,1.56/7,1.14,0.30,–,0.51,0.83,w.PSOE,0.61,0.31,0.52/3,0.20,–,–,0.31,1.0
23,PSOE[p 22],27 Apr–11 May 1993,27469,?,?152,?137,?21,?1,?18,?5,?4,?1,–,?1,?3,w.PSOE,?1,?1,?2,?2,–,?1,–,?
24,ICP–Research/Diario 16[p 6][p 23],10 May 1993,1000,?,33.5,33.0,10.6,2.9,4.2,1.0,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.5
25,Demoscopia/El País[p 6][p 24],8–10 May 1993,2500,78,36.6,35.5,11.2,1.4,4.9,1.1,0.8,–,–,0.6,0.4,w.PSOE,0.7,–,0.4,–,–,–,–,1.1
26,Sigma Dos/Tele 5[p 6][p 25],2–4 May 1993,2200,?,35.8142/152,34.5139/148,11.726/27,1.20,4.816/17,1.66/7,?3/4,–,–,?0/1,?1,w.PSOE,?1/2,–,–,–,–,–,?1,1.3
27,Sigma Dos/Tele 5[p 26],25–28 Apr 1993,?,?,34.9,34.6,–,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.3
28,CIS[p 27][p 28][p 29],24–28 Apr 1993,2500,?,33.5135/145,34.5143/153,?28/30,–,?19,?6/7,?3/4,–,–,?1,?1,w.PSOE,?1/2,?0/1,?1,–,–,–,–,?
29,ICP–Research/Diario 16[p 6],26 Apr 1993,1000,?,34.2,33.4,13.4,2.8,5.2,1.1,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.8
30,Opina/La Vanguardia[p 30],19–21 Apr 1993,2006,?,35.5138/142,36.0138/146,11.027/30,1.00,5.517/19,1.24/6,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.5
31,Sigma Dos/Tele 5[p 31],20 Apr 1993,?,?,?139/147,?143/151,?27,–,–,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,?
32,Gallup/Ya[p 5][p 6],18 Apr 1993,1003,?,35.3,35.3,11.9,2.5,4.3,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,Tie
33,Eco Consulting/CIS[p 32],15–16 Apr 1993,1208,?,33.3,34.2,12.1,1.8,5.4,–,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,0.9
34,Vox Pública–Iope/El Periódico[p 6][p 33],13–16 Apr 1993,6200,?,36.0145/160,32.6138/149,10.724/26,1.70,3.517/18,1.05/6,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,3.4
35,Sigma Dos/El Mundo[p 5][p 6][p 34],13–15 Apr 1993,8200,?,34.4131/143,35.8145/158,12.124/30,1.10,5.018/19,1.66/7,1.13/4,0.60,–,0.51,0.71,w.PSOE,0.71,–,–,0.30,–,–,0.41,1.4
36,Intercampo/CIS[p 35][p 36],15–26 Mar 1993,2500,70.2,34.6,33.6,11.6,1.5,4.7,1.4,–,–,–,–,–,w.PSOE,–,–,–,–,–,–,–,1.0
37,Opina/La Vanguardia[p 37],22–24 Mar 1993,2016,?,36.5137/150,35.4133/141,11.727/30,1.70/1,5.616/19,1.54/6,0.63/4,–,–,–,–,w.PSOE,0.90/1,–,–,–,–,–,–,1.1
38,Demoscopia/El País[p 5][p 38][p 39][p 40],7–14 Mar 1993,10000,65,33.9140/152,33.3137/149,11.526/29,2.00/1,5.016/20,1.25/6,0.94,–,?0/1,?2,?1/2,w.PSOE,0.81,?0/1,?1,–,–,–,–,0.6
39,Gallup/Ya,8–26 Feb 1993,1003,?,32.2,34.5,12.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.3
40,PP[p 41],20 Feb 1993,?,?,32.2,35.0,13.0,2.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.8
