,firm,date,size,lead,PSOE,PP,IU,CiU,CDS,PNV,CC,HB,ERC,PAR,EA,lead,UV,PA,lead
0,1996 general election,3 Mar 1996,,77.4,37.6141,38.8156,10.521,4.616,0.20,1.35,0.94,0.72,0.71,w.PP,0.51,0.92,0.41,0.50,1.2
1,Eco Consulting/RTVE[p 1][p 2],3 Mar 1996,?,?,34.8125/135,40.2160/171,11.222/25,4.414/15,–,1.46/7,–,–,0.71,w.PP,–,–,–,–,5.4
2,Demoscopia/Tele 5[p 1][p 2],3 Mar 1996,?,?,34.7124/131,40.7167/174,11.219/24,4.614/15,–,1.15/6,–,–,0.81,w.PP,–,–,–,–,6.0
3,Sigma Dos/Antena 3[p 1][p 2][p 3],3 Mar 1996,?,?,33.7120/132,41.1164/174,11.422/25,4.213/14,–,1.66/7,0.94,0.82,0.81,w.PP,0.51,0.92,0.51,–,7.4
4,CIS[p 4][p 5],27 Feb–1 Mar 1996,2491,76.0,36.8,39.2,11.5,4.0,–,0.9,–,–,–,w.PP,–,–,–,–,2.4
5,Sigma Dos–Vox Pública/El Mundo[p 6][p 7],23 Feb 1996,12990,?,31.4113/123,42.3170/179,12.225/29,4.214/15,–,1.56/7,0.62/3,0.72,0.81,w.PP,?1,0.70,?1,–,10.9
6,Inner Line[p 8][p 7],16–22 Feb 1996,6048,?,36.1136/142,40.6158/166,11.921/22,4.414/15,–,?5,–,–,–,w.PP,–,–,–,–,4.5
7,Demoscopia/El País[p 9][p 7],17–21 Feb 1996,3500,80,33.4118/128,42.4170/178,12.324/27,4.213/15,–,1.15/6,0.83,0.52,0.91,w.PP,0.41,0.61,0.30,0.60/1,9.0
8,CIS[p 10][p 11],12–21 Feb 1996,6642,75.8,34.1,41.2,11.4,4.5,–,1.3,–,–,–,w.PP,–,–,–,–,7.1
9,Metra Seis/Colpisa[p 7],10–21 Feb 1996,15000,77–79,32.2116/130,41.7173/181,11.920/27,4.214/16,–,1.35/6,0.73,0.71/2,0.81/2,w.PP,0.51,0.71/2,0.30/1,0.50/1,9.5
10,Opina/La Vanguardia[p 12],19–20 Feb 1996,2369,?,35.0135/145,41.0160/170,10.519/21,4.514/15,–,1.55/6,–,–,1.01/2,w.PP,–,–,–,–,6.0
11,Metra Seis/Colpisa[p 7],19 Feb 1996,7566,79.5,32.0–33.0120/128,41.0–42.0170/175,12.023/29,4.014,–,?5,?3,?2,?1,w.PP,?1,?1/2,?0/1,–,9.0
12,Vox Pública/El Periódico[p 13][p 7],11–16 Feb 1996,12069,84,33.5119/129,41.2165/175,11.718/27,4.514/16,–,1.35,0.72/3,0.72,0.91/2,w.PP,0.51/2,0.61,0.40/1,–,7.7
13,ABC[p 14],14 Feb 1996,25000,?,?118/119,?172,?30/31,?13,–,?7,?3,?2,?1,w.PP,?1,?2,–,–,?
14,PSOE[p 15],6–10 Feb 1996,2400,?,36.2,40.3,12.5,3.6,–,–,–,–,–,w.PP,–,–,–,–,4.1
15,Tábula V/ABC[p 16],1–10 Feb 1996,3035,?,32.5117/125,44.1176/184,12.822/28,4.213/14,–,0.84/5,?2,?3/4,?1,w.PP,–,?2,–,–,11.6
16,Sigma Dos/El Mundo[p 17][p 7],7–8 Feb 1996,1000,?,31.5,41.8,11.9,4.2,–,1.3,–,–,–,w.PP,–,–,–,–,10.3
17,Demoscopia/El País[p 18][p 7],3–7 Feb 1996,3500,80,32.6,41.7,12.8,4.5,–,1.3,–,–,–,w.PP,–,–,–,–,9.1
18,Opina/La Vanguardia[p 19],5–6 Feb 1996,1185,75–80,34.0135/140,40.5160/170,11.019/21,4.513/15,–,1.55/6,–,–,1.01/2,w.PP,–,–,–,–,6.5
19,Tábula V/ABC[p 20],29 Jan–5 Feb 1996,4503,?,28.0–31.5108/123,39.0–41.0168/172,13.5–15.024/35,4.8–5.015/17,–,1.15/6,1.03,0.92,0.51,w.PP,0.51,0.71,0.51,–,9.5–11.0
20,Vox Pública/El Periódico[p 21],30–31 Jan 1996,2028,?,31.8,42.5,12.0,4.4,–,–,–,–,–,w.PP,–,–,–,–,10.7
21,Gallup/El Correo[p 7],11–31 Jan 1996,2010,77,34.5,38.8,12.4,5.0,–,1.3,–,–,–,w.PP,–,–,–,–,4.3
22,PP[p 22][p 23],25–29 Jan 1996,4551,79,31.5,42.0,13.5,4.2,–,1.0,–,–,–,w.PP,–,–,–,–,10.5
23,Tábula V/ABC[p 24],23–26 Jan 1996,1200,79,30.0117/130,43.0168/181,11.022,5.518,–,1.54,–,–,–,w.PP,–,–,–,–,13.0
24,Sigma Dos–Vox Pública/El Mundo[p 25][p 7],21–25 Jan 1996,11000,?,31.4,41.4,12.6,4.0,–,1.4,0.6,0.7,0.8,w.PP,0.4,0.6,0.3,–,10.0
25,Demoscopia/El País[p 26][p 7],14 Jan 1996,2500,78,33.8,40.5,12.2,4.5,–,1.1,–,–,–,–,–,–,–,–,6.7
26,CIS[p 27][p 28],10–14 Jan 1996,2499,78.1,33.7,40.6,11.0,4.4,0.4,1.3,–,–,–,–,–,–,–,–,6.9
27,Sigma Dos/El Mundo[p 29][p 7],10–11 Jan 1996,1000,?,30.9115/120,40.6167/174,13.027/30,4.415/17,–,1.35,–,–,–,–,–,–,–,–,9.7
28,Opina/La Vanguardia[p 30],8–9 Jan 1996,1500,?,34.0135/145,39.5155/165,10.520/22,4.514/16,–,1.54/5,–,–,1.01,–,–,–,–,–,5.5
29,Gallup/El Correo[p 7],7 Jan 1996,2031,77,32.7,39.0,12.9,4.6,–,0.9,–,–,–,–,–,–,–,–,6.3
30,Sigma Dos–Vox Pública/El Mundo[p 31][p 32],3–4 Jan 1996,1000,?,31.2115/120,40.3165/173,13.129/30,4.616/17,–,1.25,–,–,–,–,–,–,–,–,9.1
31,Sigma Dos–Vox Pública/El Mundo[p 33][p 7],19–20 Dec 1995,1000,?,31.5115/123,40.2165/173,13.329/30,4.716/17,–,1.25,–,–,–,–,–,–,–,–,8.7
32,Tábula V[p 34],18 Dec 1995,?,?,25.0,41.0,16.0,–,–,–,–,–,–,–,–,–,–,–,16.0
33,CIS[p 35][p 36],9–14 Dec 1995,2478,78.8,33.7,40.5,11.9,5.0,0.5,1.3,–,–,–,–,–,–,–,–,6.8
34,Sigma Dos/El Mundo[p 33],12–13 Dec 1995,1000,?,30.2,41.3,13.6,4.7,–,1.2,–,–,–,–,–,–,–,–,11.1
35,Imagen & Opinión/ABC[p 37],21–23 Nov 1995,1000,?,32.7127,42.4172,12.825,4.514,–,1.25,0.63,0.82,0.71,0.41,0.41,–,0.30,–,6.8
36,CIS[p 38][p 39],8–13 Nov 1995,2486,75.4,32.1,39.4,13.3,5.1,0.5,1.3,–,–,–,–,–,–,–,–,7.3
37,Eco Consulting/Cadena SER[p 40],25 Sep–6 Oct 1995,1870,?,31.0,39.6,12.3,5.1,–,–,–,–,–,–,–,–,–,–,8.6
38,Demoscopia/El País[p 41][p 42],30 Sep–2 Oct 1995,1200,?,30.0,40.0–42.0,–,–,–,–,–,–,–,–,–,–,–,–,10.0–12.0
39,PSOE[p 43],25–30 Sep 1995,3000,?,32.0–33.0,38.0–39.0,–,–,–,–,–,–,–,–,–,–,–,–,6.0
40,CIS[p 44][p 45],13–17 Sep 1995,2493,79.0,31.9,40.2,12.7,5.2,1.3,1.3,–,–,–,–,–,–,–,–,8.3
41,Sigma Dos/El Mundo[p 46][p 47],13–14 Sep 1995,1000,?,28.3,42.0,14.1,4.7,–,1.2,–,–,–,–,–,–,–,–,13.7
42,Sigma Dos/El Mundo[p 47],31 Jul 1995,?,?,29.3,41.7,13.5,4.6,–,1.3,–,–,–,–,–,–,–,–,12.4
43,CIS[p 48][p 49],12–17 Jul 1995,2494,?,31.7,41.5,13.0,4.5,0.9,1.2,–,–,–,–,–,–,–,–,9.8
44,CIS[p 50][p 51],25–30 Jun 1995,2484,?,32.3,42.2,12.0,4.4,0.8,1.2,–,–,–,–,–,–,–,–,9.9
45,CIS[p 52][p 53],8–19 Jun 1995,6510,?,31.6,41.8,13.3,5.0,0.1,1.3,–,–,–,–,–,–,–,–,10.2
46,CIS[p 54][p 55],25–31 May 1995,2492,?,32.0,42.6,12.3,4.4,0.5,1.3,–,–,–,–,–,–,–,–,10.6
47,1995 local elections,28 May 1995,,69.9,30.8,35.3,11.7,4.4,0.3,1.4,1.0,0.8,0.9,0.5,0.6,0.9,0.6,1.2,4.5
48,Sigma Dos/El Mundo[p 56][p 57],9–16 May 1995,15500,?,28.2106,41.8177,14.233,5.118,–,?5,–,–,–,–,–,–,–,–,13.6
49,Demoscopia/El País[p 58][p 59],10–15 May 1995,16700,?,27.0,43.0,15.0,4.7,–,–,–,–,–,–,–,–,–,–,16.0
50,Sigma Dos/El Mundo[p 60][p 61],25 Apr–2 May 1995,?,?,27.899/107,42.3170/184,14.535,4.8?,–,1.3?,–,–,–,–,–,–,–,–,14.5
51,CIS[p 62][p 63],19–23 Apr 1995,2497,?,31.7,41.6,13.0,4.7,0.8,1.3,–,–,–,–,–,–,–,–,9.9
52,CIS[p 64][p 65],19–26 Mar 1995,2496,?,32.0,40.3,14.0,4.6,0.6,1.4,–,–,–,–,–,–,–,–,8.3
53,Demoscopia/El País[p 66],4–7 Mar 1995,1200,72,30.7,38.1,15.5,4.2,–,1.3,–,–,–,–,–,–,–,–,7.4
54,Sigma Dos/El Mundo[p 67][p 68],22 Feb–2 Mar 1995,16150,?,28.7110,41.0170,14.435,5.018,–,1.35,?3,?3,?1,?1,?1,0.82,?1,–,12.3
55,CIS[p 69][p 70],2–9 Feb 1995,2496,?,33.1,39.9,12.8,5.0,0.8,1.2,–,–,–,–,–,–,–,–,6.8
56,CIS[p 71][p 72],20–30 Jan 1995,3991,?,33.3,39.6,12.4,5.5,0.9,1.3,–,–,–,–,–,–,–,–,6.3
57,Gallup/ABC[p 73],11–27 Jan 1995,2008,73,30.9,39.6,13.3,5.5,–,1.4,–,–,–,–,–,–,–,–,8.7
58,CIS[p 74][p 75],12–17 Jan 1995,2496,?,33.0,39.4,13.6,4.9,0.9,1.3,–,–,–,–,–,–,–,–,6.4
59,Gruppo/ABC[p 76],31 Dec–2 Jan 1995,1000,?,27.0–29.0110/119,40.0–42.0162/170,16.0–18.030/34,4.5–4.914/17,–,–,–,–,–,–,–,–,–,–,13.0
60,CIS[p 77][p 78],14–19 Dec 1994,2488,?,34.8,37.1,13.0,5.3,1.0,1.3,–,–,–,–,–,–,–,–,2.3
61,Demoscopia/El País[p 79][p 80],11–13 Dec 1994,1200,72,30.7,38.2,15.7,–,–,–,–,–,–,–,–,–,–,–,7.5
62,CIS[p 81][p 82],1–13 Dec 1994,2491,?,35.5,37.8,12.4,4.8,0.9,1.2,–,–,–,–,–,–,–,–,2.3
63,Sigma Dos/El Mundo[p 83],11 Dec 1994,2000,?,28.5,40.8,16.3,4.8,–,1.2,–,–,–,–,–,–,–,–,12.3
64,Tábula V/ABC[p 84],28 Nov–2 Dec 1994,4542,?,24.0,40.0,19.0,–,–,–,–,–,–,–,–,–,–,–,16.0
65,CIS[p 85][p 86],12–16 Nov 1994,2493,?,35.1,37.2,12.9,5.0,0.8,1.3,–,–,–,–,–,–,–,–,2.1
