,firm,date,size,lead,PP,PSOE,IU,CiU,PNV,CC,lead,HB,ERC,PA,EA,UV,CHA,lead,lead
0,2000 general election,12 Mar 2000,,68.7,44.5183,34.2125,5.48,4.215,1.57,1.14,1.33,–,0.81,0.91,0.41,0.20,0.31,0.51,10.3
1,Eco Consulting/RTVE[p 1][p 2][p 3],12 Mar 2000,?,?[a],42.1173/180,32.9122/126,7.510/13,4.014/16,1.98/9,0.94,1.64/6,–,1.02,0.91,0.51,–,0.41,0.51,9.2
2,?,41.6168/173,34.6130/134,7.010/12,4.014/16,1.67,0.94,1.55/6,–,0.91,0.91,0.51,–,0.31,0.41,7.0,,,
3,Sigma Dos/Antena 3[p 2][p 3][p 4],12 Mar 2000,?,?,41.1162/173,36.8133/143,6.69/11,4.314/15,1.87,1.14,1.34/5,–,1.12,?0/1,?1,–,?0/1,?0/1,4.3
4,Opitel/Tele 5[p 2][p 3][p 4],12 Mar 2000,?,?,42.0168/173,37.0131/136,7.512/13,4.515/16,1.57/8,?4,?4,–,?1/2,–,–,–,–,–,5.0
5,Gallup[p 5][p 6][p 7],8–11 Mar 2000,1228,?,42.7173/178,33.9128/133,7.811/13,4.314/15,1.66/7,0.73/5,1.54/5,–,0.71,–,0.71/2,0.30,–,–,8.8
6,CIS[p 8],7 Mar 2000,?,78.5,43.7176,33.7123,8.717,4.214,1.77,0.93,1.34,–,0.91,0.80,0.51,0.31,0.31,1.22,10.0
7,La Vanguardia[p 9],5 Mar 2000,?,?,43.2175/180,35.3128/136,–,–,–,–,–,–,–,–,–,–,–,–,7.9
8,Sondaxe/Diario 16[p 10][p 4],5 Mar 2000,12001,?,42.1163/170,37.4136/143,8.111/14,4.313/15,1.67,1.13/4,1.43/5,–,1.10/1,–,?1,–,?0/1,?1/2,4.7
9,La Vanguardia[p 9][p 11],3 Mar 2000,?,?,45.7183/185,33.2123/128,6.7?,4.2?,1.6?,0.6?,1.1?,–,0.9?,0.8?,0.3?,0.3?,0.3?,1.1?,12.5
10,Demoscopia/El País[p 12][p 13][p 10],25 Feb–2 Mar 2000,15000,74,41.7165/171,37.1131/139,7.39/13,4.114/15,1.46/7,1.04,1.34/5,–,1.01/2,–,0.51,0.20,0.30/1,0.91,4.6
11,Vox Pública/El Periódico[p 14][p 1],28 Feb–1 Mar 2000,2300,?[a],44.5,33.7,6.2,4.4,1.5,1.0,1.8,–,–,–,–,–,–,–,10.8
12,65–70,41.7165/170,37.6135/140,7.59/12,4.213/14,1.67/8,1.24/5,1.74/5,–,0.91,1.12,–,–,–,–,4.1,,,
13,Metra Seis/Colpisa[p 15][p 16],21 Feb–1 Mar 2000,2500,74–76,41.5162/170,36.7132/142,8.012/13,4.415/16,1.47,1.04/5,1.34/5,–,0.71,0.80/1,0.30/1,–,0.30/1,–,4.8
14,Ipsos–Eco/ABC[p 17][p 10],25–29 Feb 2000,15600,74.4,40.5158/164,36.7138/144,7.39/12,4.315/16,1.46/7,1.04,1.23/5,–,0.81,–,0.51,0.30,0.20/1,0.61,3.6
15,Sigma Dos/El Mundo[p 18][p 19][p 10],21–29 Feb 2000,12000,?,41.9164/170,37.3137/143,6.59/11,4.516,1.76/7,0.94/5,1.33/5,–,0.81,?0/1,0.41,0.30,–,–,4.6
16,Opina/La Vanguardia[p 20],24–28 Feb 2000,3000,?,41.8166/170,37.2136/140,8.012/14,4.214/15,1.36,1.04,1.03,–,1.01/2,–,–,–,–,0.60/1,4.6
17,CIS[p 21][p 22],11–28 Feb 2000,24040,72.0,41.6163/168,36.6138/143,7.49/11,4.114/15,1.37,0.83/4,1.14/5,–,0.91,–,0.41,0.30/1,0.30/1,0.71/2,5.0
18,Gallup[p 23][p 24],7–28 Feb 2000,2029,73.8,42.4,37.4,6.9,4.2,1.5,–,–,–,–,–,–,–,–,–,5.0
19,Sondaxe/Diario 16[p 4],27 Feb 2000,5455,?,42.2,36.4,9.1,5.1,1.6,0.8,1.3,–,–,–,–,–,–,–,5.8
20,Ipsos–Eco/ABC[p 25],11–15 Feb 2000,2232,?,41.8,38.2,7.3,4.5,1.4,–,1.1,–,–,–,–,–,–,–,3.6
21,Demoscopia/El País[p 26],13 Feb 2000,2000,74–76,41.6,37.3,7.5,4.4,1.4,–,1.1,–,–,–,–,–,–,–,4.3
22,Vox Pública/El Periódico[p 27][p 1],5–8 Feb 2000,2300,?[a],46.3,32.3,7.1,3.7,1.6,0.7,1.2,–,–,–,–,–,–,–,14.0
23,65–70,42.6,36.6,7.5,4.2,1.9,–,–,–,–,–,–,–,–,–,6.0,,,
24,Sigma Dos/El Mundo[p 28],6 Feb 2000,?,?,42.9,36.2,7.8,4.4,1.3,–,–,–,–,–,–,–,–,–,6.7
25,La Vanguardia[p 9],30 Jan 2000,?,?,44.7180/182,35.1126/131,–,–,–,–,–,–,–,–,–,–,–,–,9.6
26,Opina/La Vanguardia[p 29],22–25 Jan 2000,3000,?[b],42.0157/160,40.0145/148,8.015/16,4.014,1.24/5,1.04/5,0.83,–,0.80/1,–,0.20,–,–,0.50,2.0
27,?,42.5164/168,37.0138/143,7.514/15,4.314/15,1.35,1.55,1.33/4,–,1.01,–,0.30,–,–,0.80/1,5.5,,,
28,Gallup[p 30][p 16],3–24 Jan 2000,?,?,40.7,37.1,7.0,4.1,1.4,–,–,–,–,–,–,–,–,–,3.6
29,Vox Pública/El Periódico[p 31][p 1],11–18 Jan 2000,2300,?[a],45.0,33.3,5.8,4.3,1.2,0.7,1.3,–,–,–,–,–,–,–,11.7
30,65–70,43.0,38.0,6.5,4.2,1.3,–,–,–,–,–,–,–,–,–,5.0,,,
31,Sigma Dos/El Mundo[p 32][p 33][p 34],23–30 Dec 1999,12000,?,42.5167/174,36.8137/144,6.39/10,4.415/16,1.46,0.93/5,1.23,–,0.61,–,0.51,–,–,–,5.7
32,Gallup[p 30][p 16],9–24 Dec 1999,?,?,38.6,38.2,6.8,4.5,1.2,–,–,–,–,–,–,–,–,–,0.4
33,Demoscopia/El País[p 35][p 36],15–22 Dec 1999,?,73,40.9,36.5,6.7,4.1,1.5,–,1.4,–,–,–,–,–,–,–,4.4
34,Sondaxe/Diario 16[p 37][p 38],5 Dec 1999,2500,?,43.8,36.8,7.9,4.0,2.0,–,–,–,–,–,–,–,–,–,7.0
35,Gallup[p 30][p 16],8–29 Nov 1999,2001,?,39.0,38.4,6.3,4.2,1.3,–,–,–,–,–,–,–,–,–,0.6
36,La Vanguardia[p 9],28 Nov 1999,?,?,42.2175/179,34.2128/135,–,–,–,–,–,–,–,–,–,–,–,–,8.0
37,La Vanguardia[p 9][p 11],25 Nov 1999,?,?,41.1175/176,34.1130/135,5.6?,4.3?,1.4?,0.6?,1.0?,1.0?,1.3?,0.8?,0.3?,0.2?,–,0.6?,7.0
38,Opina/La Vanguardia[p 39],19–22 Nov 1999,3000,?,41.5163/167,36.0132/140,8.013/15,4.014/15,1.55/6,1.55,1.53/4,0.51/2,1.01,–,–,–,–,1.01,5.5
39,CIS[p 40][p 41][p 42][p 43],22–26 Oct 1999,2496,?,40.6167,35.8139,6.8?,4.5?,1.2?,–,–,–,–,–,–,–,–,–,4.8
40,Intercampo/GETS[p 44],22 Sep–7 Oct 1999,?,?,41.0,36.5,10.3,4.4,1.2,–,–,–,–,–,–,–,–,–,4.5
41,Metra Seis/Colpisa[p 45][p 16],27 Sep–1 Oct 1999,1680,?,41.8164/170,36.8136/142,7.411/13,4.514/16,1.25,–,–,–,–,–,–,–,–,–,5.0
42,Sigma Dos/El Mundo[p 46][p 47],28–30 Sep 1999,?,?,42.2165/170,37.0135/140,7.1?,4.5?,1.3?,–,–,–,–,–,–,–,–,–,5.2
43,Gallup[p 48][p 49],2–27 Sep 1999,2029,77.2,40.7,37.2,9.8,4.3,1.0,–,–,–,–,–,–,–,–,–,3.5
44,Demoscopia/El País[p 50],13–15 Sep 1999,1809,?,40.8,36.7,7.0,4.8,1.3,–,–,–,–,–,–,–,–,–,4.1
45,Eco Consulting/ABC[p 51],9–10 Sep 1999,1000,?,41.4,35.8,8.8,4.3,1.5,–,1.4,–,–,–,–,–,–,–,5.6
46,La Vanguardia[p 9][p 11],26 Aug 1999,?,?,41.8175/176,34.7130/135,5.8?,3.9?,1.3?,1.1?,1.6?,0.9?,1.3?,1.1?,0.2?,0.3?,–,1.3?,7.1
47,CIS[p 40][p 52][p 53][p 43],9–15 Jul 1999,2490,?,40.7169,35.8140,6.6?,4.6?,1.2?,–,–,–,–,–,–,–,–,–,4.9
48,DYM/El Periódico[p 54],5–12 Jul 1999,2534,69.3,41.8,37.1,7.2,4.9,1.1,–,–,0.7,0.8,–,0.2,–,–,1.0,4.7
49,Gallup[p 48][p 30][p 16],9–21 Jun 1999,?,?,40.1,38.1,9.5,4.0,1.2,–,–,–,–,–,–,–,–,–,2.0
50,1999 EP election,13 Jun 1999,,63.0,39.7162,35.3135,5.89,4.017,1.97,1.35,1.65,1.34,0.81,1.22,w.PNV,0.41,0.20,0.72,4.4
51,1999 local elections,13 Jun 1999,,64.0,34.4,34.3,6.5,3.6,1.3,1.3,1.4,1.3,1.1,1.7,w.PNV,0.5,0.3,1.1,0.1
52,Demoscopia/El País[p 55][p 56][p 16],26 May–1 Jun 1999,17500,?,41.5,37.0,7.7,4.4,–,–,–,–,–,–,–,–,–,–,4.5
53,Metra Seis/Colpisa[p 57][p 16],14–20 May 1999,1200,?,41.7168/176,35.3127/133,8.815/18,4.716,1.25,–,–,–,–,–,–,–,–,–,6.4
54,CIS[p 40][p 58][p 59][p 43],24–28 Apr 1999,2499,?,41.0169,35.9138,8.9?,4.6?,1.3?,–,–,–,–,–,–,–,–,–,5.1
55,DYM/El Periódico[p 60][p 61],9–16 Apr 1999,3019,65.3,42.9,34.1,10.1,4.6,1.5,–,–,0.3,0.9,–,0.1,–,–,0.9,8.8
56,Demoscopia/El País[p 62][p 16],12–14 Apr 1999,1200,?,41.1,31.6,8.1,5.4,–,–,–,–,–,–,–,–,–,–,9.5
57,Metra Seis/Colpisa[p 63][p 16],18–22 Feb 1999,1200,?,42.5169/176,35.7130/137,7.612/14,4.615/16,1.35/7,–,–,–,–,–,–,–,–,–,6.8
58,Eco Consulting/ABC[p 64],18–20 Feb 1999,1500,?,42.1,35.0,10.0,4.5,1.5,–,1.2,–,–,–,–,–,–,–,7.1
59,La Vanguardia[p 9],31 Jan 1999,?,?,41.5170/171,35.9136/140,–,–,–,–,–,–,–,–,–,–,–,–,5.6
60,CIS[p 40][p 65][p 66][p 67],27–31 Jan 1999,2493,?,41.1167/175,35.4127/136,9.214/16,4.515/16,1.35/6,–,–,–,–,–,–,–,–,–,5.7
