,firm,date,size,lead,PP,PSOE,IU,CiU,PNV,lead,CC,PA,ERC,ICV,EA,CHA,lead,Aralar,NaBai,lead
0,2004 general election,14 Mar 2004,,75.7,37.7148,42.6164,5.05,3.210,1.67,0.82,0.93,0.70,2.58,w.IU,0.31,0.41,0.20,0.10,0.21,4.9
1,Sigma Dos/Antena 3[a][p 1],14 Mar 2004,?,?,37.5,42.7,5.3,3.1,1.7,–,–,–,–,w.IU,–,–,–,–,–,5.2
2,Sigma Dos/Antena 3[p 1][p 2][p 3][p 4],14 Mar 2004,75000,?,38.5153/161,41.0152/159,5.46/7,3.310/11,1.67,1.03,0.93,–,2.36,w.IU,?1,?1,–,–,?1,2.5
3,Ipsos–Eco/RTVE[p 5][p 2][p 3],14 Mar 2004,210000,?,36.9150/154,41.4154/158,6.39/11,3.010/12,1.46/7,0.92,0.93/4,–,2.37/8,w.IU,0.30/1,0.41,0.21,0.30/1,0.31,4.5
4,TNS Demoscopia/Tele 5[p 6][p 7][p 3],11–13 Mar 2004,?,?,40.6168/170,38.3140/143,6.58/10,3.010/11,1.57,?2,0.93,–,2.76/7,w.IU,?0/1,?1,–,–,–,2.3
5,Opina/Cadena SER[p 8][p 2],12 Mar 2004,?,?,39.5154/160,40.5151/159,6.19/10,3.010/11,1.27/8,?2/3,?3/4,–,?5/6,w.IU,–,–,–,–,–,1.0
6,Sigma Dos[p 1],12 Mar 2004,?,?,40.3,39.6,5.2,3.3,1.8,–,–,–,–,w.IU,–,–,–,–,–,0.7
7,Sigma Dos[p 1],10 Mar 2004,?,?,41.2,38.4,5.3,3.3,1.8,–,–,–,–,w.IU,–,–,–,–,–,2.8
8,TNS Demoscopia/Tele 5[p 9],8 Mar 2004,3031,?,42.5174/176,37.8136/137,–,–,–,–,–,–,–,w.IU,–,–,–,–,–,4.7
9,Opina/Cadena SER[p 10][p 11],7 Mar 2004,?,?,40.5161/166,38.0140/145,5.811/12,3.610/11,1.47/8,1.13,0.84,–,2.07/8,w.IU,–,–,–,–,–,2.5
10,Opina/Cadena SER[p 12][p 13][p 14],6 Mar 2004,?,?,40.5,37.0,5.8,3.8,1.5,–,–,–,–,w.IU,–,–,–,–,–,3.5
11,Sigma Dos/El Mundo[p 15][p 16],5–6 Mar 2004,1000,?,42.1168/173,37.6138/144,5.36/8,3.411,1.87,1.23,1.03/4,–,2.05/6,w.IU,–,?1,?0/1,–,–,4.5
12,Celeste-Tel/La Razón[p 17][p 18],4–6 Mar 2004,601,74.1,42.9173/177,37.6136/141,6.69/10,3.411/12,1.77/8,1.12,0.93,0.80/1,1.65/6,w.IU,0.40/1,0.30,–,–,–,5.3
13,Opina/Cadena SER[p 19][p 20][p 21],5 Mar 2004,?,?,41.0,37.0,6.0,4.0,1.5,–,–,–,–,w.IU,–,–,–,–,–,4.0
14,Celeste-Tel/La Razón[p 22][p 23][p 24],17 Feb–5 Mar 2004,2404,72.1,42.9171/176,37.2135/141,5.98,3.511/12,1.77/8,–,0.93,–,1.55/6,w.IU,–,?1,–,–,–,5.7
15,Opina/Cadena SER[p 25][p 26][p 27],4 Mar 2004,?,?,41.5,36.5,7.0,3.5,1.5,–,–,–,–,w.IU,–,–,–,–,–,5.0
16,TNS Demoscopia/Tele 5[p 28],3 Mar 2004,?,?,42.1175/176,37.0136,–,–,–,–,–,–,–,w.IU,–,–,–,–,–,5.1
17,Opina/Cadena SER[p 29][p 30][p 31],3 Mar 2004,?,?,41.5163/171,36.5135/143,6.511/12,3.010/11,1.67/8,1.12/3,0.83/4,–,2.06/8,w.IU,–,–,–,–,–,5.0
18,Vox Pública/El Periódico[p 32],1–3 Mar 2004,2071,72–73,42.5169/173,37.3135/140,7.110/12,3.210/11,1.57,–,–,–,1.96/7,w.IU,–,–,–,–,–,5.2
19,Citigate Sanchís/La Gaceta[p 22][p 33][p 34],1–3 Mar 2004,1007,?,42.8,37.3,5.7,3.1,1.5,–,1.4,–,2.2,w.IU,–,–,–,–,–,5.5
20,Noxa/La Vanguardia[p 35],27 Feb–3 Mar 2004,2200,?,41.4162/167,39.2143/147,6.39/10,3.010,2.17,?2/3,1.04,–,2.15/6,w.IU,?1,?1,–,–,–,2.2
