,firm,date,PSOE,AP-PDP-PL,IU,CiU,CDS,PNV,PRD,error,size,lead
0,General Election,22 June 1986,44.1,26.0,4.6,5.0,9.2,1.5,1.0,,,18.1
1,OTR,16 June 1986,46.0,19.5,7.5,,12.5,1.5,10.0,,,26.5
2,Emopública,15 June 1986,48.0,22.6,4.7,,11.1,1.7,5.8,,6080.0,25.4
3,Eco Consulting,15 June 1986,40.2,25.5,5.7,,9.9,,4.0,,,14.7
4,Telemarket,14 June 1986,39.1,22.2,5.0,5.2,5.4,2.5,9.7,±1 pp,10105.0,16.9
5,Aresco,13 June 1986,39.9,28.7,7.4,4.5,9.0,1.8,3.2,±2 pp,2505.0,11.2
6,Perfiles,11 June 1986,39.4,19.3,7.0,5.3,2.9,2.3,12.4,,,20.1
7,Emopública,11 June 1986,45.5,23.0,5.5,4.0,10.8,1.1,2.2,,6081.0,22.5
8,Emopública,11 June 1986,48.0,23.6,5.3,,11.1,1.7,5.8,,6081.0,24.4
9,Eco Consulting,10 June 1986,40.2,26.3,6.0,4.8,9.6,1.8,3.7,±3.1 pp,1326.0,13.9
10,Gallup,9 June 1986,40.0,24.0,6.0,6.0,9.0,2.0,4.0,,6046.0,16.0
11,Demoscopia,8 June 1986,41.0,24.0,6.0,6.0,11.0,3.0,3.0,±1.4 pp,5200.0,17.0
12,IOPE-ETMAR,7 June 1986,42.4,24.1,4.9,4.7,11.7,1.7,2.8,±1.4 pp,7029.0,18.3
13,Line-Staff,7 June 1986,43.0,22.2,6.3,6.1,8.3,2.2,6.4,±1.2 pp,8871.0,20.8
14,Eco Consulting,3 June 1986,40.3,26.5,5.9,5.4,8.4,1.8,3.6,±3.1 pp,1311.0,13.8
15,Perfiles,3 June 1986,40.3,19.7,6.0,4.9,2.5,2.2,12.9,±1.5 pp,4480.0,20.6
16,Sigma Dos,2 June 1986,38.5,26.5,6.6,4.9,8.7,1.9,4.7,±3 pp,1111.0,12.0
17,Perfiles,27 May 1986,40.2,23.1,5.3,4.4,2.8,2.0,12.8,±1.5 pp,4265.0,17.1
18,Demoscopia,27 May 1986,46.0,25.0,6.0,6.0,8.0,3.0,1.0,±1.4 pp,5200.0,21.0
19,Eco Consulting,20 May 1986,42.0,29.1,6.7,5.2,5.3,1.9,3.4,±3.1 pp,1311.0,12.9
20,Perfiles,20 May 1986,42.0,23.4,4.1,3.9,3.5,1.9,11.4,±1.5 pp,4330.0,18.6
21,Sigma Dos,14 May 1986,38.4,25.8,8.4,4.5,7.2,1.9,4.9,±3 pp,1111.0,12.6
22,Typol,10 May 1986,43.5,28.6,3.9,,5.8,2.1,9.7,±1.4 pp,5000.0,14.9
23,Emopública,25 April 1986,44.0,27.7,7.4,3.0,6.5,0.8,6.0,,1200.0,16.3
24,Sofemasa,1 December 1985,50.5,19.8,7.4,3.8,4.0,2.3,1.5,±2.3 pp,1849.0,30.7
25,AP,15 November 1985,40.0,32.5,4.5,3.0,6.5,2.0,1.5,,6500.0,7.5
26,IOPE-ETMAR,23 July 1985,44.9,24.6,5.0,3.9,9.2,1.8,2.7,±2.5 pp,1600.0,20.3
27,Sofemasa,23 June 1985,46.0,28.5,,,5.6,,1.0,,23000.0,17.5
28,Sigma Dos,11 June 1985,43.4,29.8,6.6,3.3,5.9,2.2,1.0,±3 pp,1111.0,13.6
29,Sigma Dos,14 May 1985,41.7,28.7,6.8,3.2,5.8,2.0,1.5,±3 pp,1111.0,13.0
30,Gallup,29 April 1985,43.5,23.4,4.0,3.7,8.0,2.0,7.3,±3.2 pp,1033.0,20.1
31,IOPE-ETMAR,23 April 1985,47.4,25.2,4.1,4.6,7.5,1.8,1.8,±2.4 pp,1800.0,22.2
32,IOPE-ETMAR,17 February 1985,47.8,22.3,4.0,4.5,8.0,1.9,4.3,±2.4 pp,1800.0,25.5
33,Eco Consulting,25 January 1985,45.0,28.5,5.0,4.0,5.0,2.0,2.0,,,16.5
34,IOPE-ETMAR,20 January 1985,45.9,23.6,4.7,4.3,7.2,2.1,4.5,±2.4 pp,1800.0,22.3
35,Gallup,30 November 1984,38.2,26.3,5.8,3.9,6.3,2.0,8.3,,1292.0,11.9
36,Técnicos Consultores,28 October 1984,39.2,29.4,7.2,4.0,4.0,1.9,,±3 pp,1111.0,9.8
37,Gallup,9 October 1984,42.9,28.0,5.9,3.1,5.7,2.3,5.2,±3.2 pp,1024.0,14.9
38,IOPE-ETMAR,8 October 1984,44.8,24.4,5.0,5.0,7.7,1.8,2.9,,1852.0,20.4
39,Técnicos Consultores,23 September 1984,37.1,28.2,5.6,3.0,3.6,1.9,,±3 pp,1111.0,8.9
40,Técnicos Consultores,5 August 1984,40.6,30.4,6.5,3.1,3.5,2.0,,±3 pp,1111.0,10.2
41,Técnicos Consultores,15 July 1984,44.3,27.4,4.9,3.1,2.4,2.0,,±3 pp,1111.0,16.9
42,Técnicos Consultores,24 June 1984,42.0,29.4,5.4,3.0,3.5,2.0,,±3 pp,1111.0,12.6
43,Técnicos Consultores,8 April 1984,43.9,27.9,6.0,2.8,3.6,1.9,,±3 pp,1111.0,16.0
44,Gallup,7 March 1984,42.3,27.1,6.1,3.7,5.3,1.9,,,952.0,15.2
45,Técnicos Consultores,12 February 1984,44.2,26.6,5.5,2.9,2.5,2.2,,±3 pp,1111.0,17.6
46,Técnicos Consultores,11 December 1983,48.3,27.2,5.4,3.5,3.1,1.8,,±3 pp,1111.0,21.1
47,IOPE-ETMAR,20 November 1983,47.5,26.9,4.4,4.3,4.6,1.9,3.1,,1200.0,20.6
48,Eco Consulting,28 October 1983,46.0,28.0,8.0,4.0,,2.0,,,1350.0,18.0
49,Municipal Elections,8 May 1983,43.0,25.6,8.5,4.2,1.7,2.3,0.8,,,17.4
50,Aresco,29 April 1983,45.3,30.2,5.3,3.8,1.6,2.4,0.7,±2.7 pp,1440.0,15.1
51,Metra Seis,15 April 1983,49.9,17.6,4.2,,1.3,,,,1111.0,32.3
52,Alef,26 February 1983,49.7,17.9,3.3,2.9,1.3,1.2,,±2.5 pp,1700.0,31.8
53,General Election,28 October 1982,48.1,26.4,4.0,3.7,2.9,1.9,,,,21.7
