,firm,date,size,Turnout,PSOE,PP,IU–LV,CiU,PNV,UPyD,ERC,BNG,/wiki/Galician_Nationalist_Bloc,CC,PA,GBai,PSM,Compromís,/wiki/PSM%E2%80%93Nationalist_Agreement,UPN,Amaiur logo.svg,FAC,PRC,Lead
0,2011 general election,20 Nov 2011,,68.9,28.8110,44.6186,6.911,4.216,1.35,4.75,1.13,0.82,0.62,0.30,0.21,0.51,w.equo,w.PP,1.47,0.41,0.20,w.CC,0.90,15.8
1,TNS Demoscopia/RTVE[p 1][p 2],20 Nov 2011,190000,?,30.0115/119,43.5181/185,6.79/11,3.413/15,1.24/5,4.33/4,1.13,0.82,0.62/3,–,0.20/1,0.50/1,–,w.PP,1.46/7,0.41,–,w.CC,–,13.5
2,NC Report/La Razón[p 3][p 4],20 Nov 2011,771,71.1,31.7112/116,45.5186/192,7.911,3.313,1.24/5,2.42,0.72,1.02,0.82/3,–,–,?1,–,w.PP,?4/5,?1,–,w.CC,–,13.8
3,Sigma Dos/The Times[p 5][p 6],16 Nov 2011,?,?,28.0107,48.0200,6.711,3.112,?6,3.84,?2,?2,?2,–,–,–,–,w.PP,?4,–,–,w.CC,–,20.0
4,Ipsos[p 7],13 Nov 2011,?,?,31.8123/128,44.5184/190,6.1?,3.4?,1.0?,4.1?,1.0?,0.7?,0.4?,–,–,0.4?,–,w.PP,0.9?,0.2?,–,w.CC,–,12.7
5,GESOP/El Periódico[p 8],12 Nov 2011,2070,?,30.2115/118,46.2188/192,6.08/10,3.213/14,1.14/5,4.44,1.12/3,–,–,–,–,–,–,w.PP,1.14/5,–,–,w.CC,–,16.0
6,Tábula V/La Gaceta[p 9],11 Nov 2011,1400,79,31.3121/123,45.2184/187,8.99/10,3.211/13,1.44/6,3.22/3,1.32/3,0.81/2,0.61/2,–,–,0.30/1,–,w.PP,1.64/6,0.50/1,–,w.CC,–,13.9
7,NC Report/La Razón[p 10][p 11],11 Nov 2011,5750,?,31.0115,45.9188,7.211,3.313,1.35,2.82,0.92,1.02,0.83,–,–,?2,?1,w.PP,?5,?1,–,w.CC,–,14.9
8,Opinión 2000/Cadena SER[p 12][p 13],10 Nov 2011,1000,?,32.0,45.0,6.0,3.5,1.5,3.0,1.0,–,–,–,–,–,–,w.PP,1.0,–,–,w.CC,–,13.0
9,Noxa/La Vanguardia[p 14],10 Nov 2011,1275,?,30.1116/120,44.7184/189,7.88/10,3.312/14,1.04/5,4.63/4,0.72,–,–,–,–,–,–,w.PP,0.63/4,–,–,w.CC,–,14.6
10,Simple Lógica[p 15],10 Nov 2011,1009,73.7,31.2,46.1,5.5,3.5,0.6,3.7,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,14.9
11,GAD3/COPE[p 16][p 17],10 Nov 2011,1395,?,31.8115/118,45.4188/192,5.68,3.313,1.35/6,3.43,0.81,0.82,0.93,–,0.10,w.equo,–,w.PP,1.44/5,0.31,–,w.CC,0.81/2,13.6
12,Sigma Dos/El Mundo[p 18][p 19],10 Nov 2011,3000,?,29.8112,47.6198,5.77,3.814,1.35,3.03,0.92,?2,?2,–,?1,–,–,w.PP,?3,?1,–,w.CC,–,17.8
13,Sondaxe/La Voz de Galicia[p 20],9 Nov 2011,?,?,31.6,47.1,5.3,3.6,0.7,2.3,0.8,0.7,0.2,–,–,–,–,w.PP,–,–,–,w.CC,–,15.5
14,Celeste-Tel[p 21],8 Nov 2011,1100,?,31.5118/120,44.7186/188,7.09/10,3.312/13,1.35,2.62,0.92,1.22,0.93,–,–,?1/2,–,w.PP,?4/5,?1,–,w.CC,–,13.2
15,Metroscopia/El País[p 22][p 23],8 Nov 2011,9675,70,30.9110/113,45.4192/196,8.811,3.314,1.25,4.22,0.93,0.72,0.32,–,–,0.21,–,w.PP,0.64/5,–,–,w.CC,–,14.5
16,TNS Demoscopia/CEMOP[p 24][p 25],7 Nov 2011,1505,74.3,28.7,47.7,7.6,3.4,1.1,4.2,1.2,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,19.0
17,Sigma Dos/El Mundo[p 18],6 Nov 2011,?,?,30.1114,48.2198,5.46,3.613,1.35,3.03,0.92,?2,?2,–,?1,–,–,w.PP,?3,?1,–,w.CC,–,18.1
18,Invymark/laSexta[p 26],4 Nov 2011,?,?,34.4,46.5,4.6,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,w.CC,–,12.1
