,firm,date,size,turnout,PP,PSOE,IU,UPyD,CiU,Amaiur logo.svg,PNV,ERC,eQuo,/wiki/Galician_Nationalist_Bloc,CC,Compromís,FAC,PA,PRC,GBai,Més,Anova,CUP,C's,Vox,Podemos,lead
0,2014 EP election[p 378],25 May 2014,,43.8,26.1138,23.0105,10.025,6.510,3.514,1.48,1.47,3.815,1.00,0.50,0.42,0.92,0.20,0.30,–,–,–,w.IU,–,3.24,1.61,8.019,3.1
1,Sigma Dos/El Mundo[p 379],15 May 2014,1111,?,33.8,25.7,10.3,6.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.9,1.3,3.1,8.1
2,Simple Lógica[p 294],10 May 2014,?,?,30.9,22.9,12.4,12.3,2.7,–,1.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.0
3,Celeste-Tel[p 380],8 May 2014,1100,57.9,32.4138/147,29.0114/118,12.125/27,7.311/13,2.611/12,1.47,1.36,1.86/7,1.91,0.82,0.83/4,0.93,0.41,0.60,0.31/2,0.31,0.21,–,0.41,2.03/4,0.50,1.81,3.4
4,Feedback/La Vanguardia[p 381],8 May 2014,1500,56.9,34.9144,27.1105,12.538,9.224,3.913,1.56,1.45,2.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.8
5,Sigma Dos/El Mundo[p 382][p 383],15 Apr 2014,1000,?,33.1,30.2,10.4,7.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.3,1.1,1.2,2.9
6,Simple Lógica[p 294],9 Apr 2014,1020,?,28.4,23.8,11.5,13.3,3.5,–,1.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.6
7,CIS[p 384][p 385],7 Apr 2014,2469,?,31.9,26.2,10.9,8.9,3.0,1.3,1.1,2.5,–,0.6,0.4,1.7,0.1,–,–,0.1,–,–,–,–,–,–,5.7
8,Celeste-Tel[p 386],5 Apr 2014,1100,57.5,32.3139/149,28.9115/118,12.526/28,7.512/14,2.711/12,1.67,1.46,1.96/7,2.01,0.92/3,0.93/4,1.03,0.41,0.60,0.31/2,0.31,0.21,–,0.51/2,1.43/4,0.40,–,3.4
9,Metroscopia/El País[p 387][p 388],1 Apr 2014,1200,65,31.8,32.3,11.7,6.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5
10,NC Report[p 389],14 Mar 2014,955,?,33.3,27.8,12.3,7.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.5
11,Simple Lógica[p 390],7 Mar 2014,1068,54.6,29.3,22.8,13.3,12.7,3.5,–,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.5
12,Celeste-Tel[p 391],6 Mar 2014,1100,56.9,32.0138/150,28.9115/118,12.826/28,7.712/14,2.611/12,1.57,1.46,2.06/7,2.01,1.02,1.03,1.03,0.40/1,0.70,0.31,0.31,0.21,–,0.51/2,1.42/4,0.40,–,3.1
13,Metroscopia/El País[p 392][p 393],4 Mar 2014,1200,65,31.5,32.0,12.0,7.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5
14,NC Report/La Razón[p 394][p 395],1 Mar 2014,630,58.7,32.6,26.7,12.1,9.4,3.3,1.3,1.6,2.3,–,0.7,1.3,1.0,0.3,–,–,0.2,–,–,–,–,–,–,5.9
15,Invymark/laSexta[p 396],28 Feb 2014,?,?,28.8,23.6,14.5,12.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.2
16,MyWord/Cadena SER[p 397][p 398],19 Feb 2014,1000,?,27.5,23.2,11.5,15.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.3
17,Invymark/laSexta[p 396],14 Feb 2014,?,?,28.9,23.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.7
18,GAD3/ABC[p 399],13 Feb 2014,1000,?,32.3148,26.3115,10.721,10.120,3.312,1.36,1.36,2.17,–,–,–,–,–,–,–,–,–,–,–,0.91,–,–,6.0
19,Simple Lógica[p 390],10 Feb 2014,1119,?,29.6,20.3,14.9,11.8,3.8,–,1.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.3
20,Metroscopia/El País[p 400][p 401],6 Feb 2014,1200,65,30.8,31.7,13.5,8.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.9
21,Celeste-Tel/eldiario.es[p 402][p 403],6 Feb 2014,1100,56.6,31.6137/148,28.7114/118,13.126/29,7.812/14,2.411/12,1.68,1.26,2.17/8,1.81,0.92,0.83,1.13,0.41,0.70,0.21,0.31,0.21,–,0.61/2,1.42/4,–,–,2.9
22,Invymark/laSexta[p 404],24 Jan 2014,?,?,28.7,23.3,14.7,12.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.4
23,GESOP/El Periódico[p 405],23 Jan 2014,1000,?,28.6126/129,24.9104/107,13.237/39,11.530/32,3.312/13,–,–,2.17/8,–,–,–,–,–,–,–,–,–,–,–,4.12/4,–,–,3.7
24,CIS[p 406][p 407][p 408],15 Jan 2014,2480,?,32.1150,26.6112,11.326,9.218,3.413,1.26,1.57,2.59,–,0.7?,1.0?,0.8?,0.1?,–,–,0.1?,–,–,–,–,–,–,5.5
25,Invymark/laSexta[p 409],11 Jan 2014,?,?,28.5,23.4,14.7,12.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1
26,Simple Lógica[p 390],10 Jan 2014,1030,?,28.1,22.0,14.8,13.0,2.6,–,1.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.1
27,Metroscopia/El País[p 410][p 411],9 Jan 2014,1200,65,32.0,33.5,12.5,7.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.5
28,Celeste-Tel/eldiario.es[p 412][p 413],7 Jan 2014,1100,56.3,32.1139/149,28.8114/118,13.227/29,7.712/14,2.311,1.68,1.36,2.28,1.81,0.92,0.93/4,1.13,0.51/2,0.70,0.21,0.31,0.21,–,0.61/2,1.32/3,–,–,3.3
29,Sigma Dos/El Mundo[p 414],28 Dec 2013,1000,?,33.3,24.4,14.7,9.8,3.6,1.0,1.6,2.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.9
30,Invymark/laSexta[p 415],20 Dec 2013,?,?,28.2,23.6,14.6,12.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.6
31,Simple Lógica[p 390],10 Dec 2013,1044,?,30.7,22.8,14.1,13.6,2.8,–,1.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.9
32,Celeste-Tel/eldiario.es[p 416][p 417],5 Dec 2013,1100,55.4,32.0138/148,28.6114/118,13.127/30,7.812/14,2.311,1.78,1.36,2.38/9,1.71,0.92,0.94,1.13,0.41,0.70,0.21,0.31,0.31,–,0.61/2,1.32/3,–,–,3.4
33,Metroscopia/El País[p 418][p 419],30 Nov 2013,12000,65,33.9146,31.5131,12.025,7.111,2.811,1.25,1.57,2.28,–,0.61,0.52,0.62,–,–,–,?1,–,–,–,–,–,–,2.4
34,GESOP/El Periódico[p 420],28 Nov 2013,1000,?,29.5132/136,25.1104/108,12.932/34,11.128/29,3.011/12,–,–,2.58/9,–,–,–,–,–,–,–,–,–,–,–,4.02/4,–,–,4.4
35,NC Report[p 421],28 Nov 2013,955,?,34.2,28.4,12.2,7.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.8
36,Invymark/laSexta[p 422],22 Nov 2013,?,?,28.4,23.3,14.5,12.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1
37,Sigma Dos/El Mundo[p 423],14 Nov 2013,1000,?,30.6,27.0,13.4,10.1,3.6,1.2,1.4,2.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.6
38,GAD3/Antena 3[p 424][p 425],14 Nov 2013,801,?,33.1150,28.5122,9.216,11.221,3.612,1.36,1.36,2.17,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.4
39,Simple Lógica[p 390],13 Nov 2013,1959,?,30.9,21.7,12.2,14.8,2.3,–,1.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.2
40,Invymark/laSexta[p 426],8 Nov 2013,?,?,28.2,23.1,14.7,13.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.1
41,Celeste-Tel[p 427],7 Nov 2013,1100,55.1,31.8138/147,28.2113/117,13.327/30,7.912/14,2.311,1.78,1.47,2.48,1.71,0.92,0.94,1.23,0.41,0.60,0.21,0.31,0.31,–,0.82,1.43,–,–,3.6
42,MyWord/Cadena SER[p 428][p 429],4 Nov 2013,1000,?,27.1,22.7,13.5,15.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4
43,DYM/El Confidencial[p 430],31 Oct 2013,967,?,32.5,21.2,17.3,11.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3
44,Invymark/laSexta[p 431],18 Oct 2013,?,?,27.2,23.4,14.8,13.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.8
