,firm,date,size,Turnout,PP,PSOE,Podemos,C's,IU–UPeC,ERC–CatSí,DiL,PNV,PACMA,EHB.png,CC,BNG,/wiki/Galician_Nationalist_Bloc,Lead
0,2016 general election,26 Jun 2016,,66.5,33.0137,22.685,w.UP,13.132,w.UP,2.79,2.08,1.25,1.20,0.82,0.31,0.20,21.271,10.4
1,Sigma Dos/RTVE[p 1][p 2],26 Jun 2016,132000,?,28.5117/121,22.081/85,w.UP,11.826/30,w.UP,3.111/12,1.45,1.35/6,–,1.03/4,0.31,–,25.691/95,2.9
2,NC Report[p 3],25 Jun 2016,?,?,31.9128/132,22.083/88,w.UP,13.030/33,w.UP,2.48/9,1.87/8,1.15/6,–,0.82,0.31,–,23.776/80,8.2
3,GESOP/El Periòdic[p 4],25 Jun 2016,1000,68–70,28.7116/120,21.683/87,w.UP,14.537/41,w.UP,–,–,–,–,–,–,–,23.983/87,4.8
4,GESOP/El Periòdic[p 5],24 Jun 2016,900,70–72,28.7116/120,21.683/87,w.UP,14.938/42,w.UP,–,–,–,–,–,–,–,23.783/87,5.0
5,GAD3/ABC[p 6],24 Jun 2016,4000,?,30.4121/124,21.884/86,w.UP,13.229/32,w.UP,2.810/11,1.66,1.25,–,0.92,0.30/1,–,24.887/89,5.6
6,NC Report[p 3],23 Jun 2016,?,?,31.7126/131,21.682/85,w.UP,13.131/34,w.UP,2.38/9,1.76/7,1.15/6,–,0.72,0.31,–,24.579/84,7.2
7,GESOP/El Periòdic[p 7],23 Jun 2016,900,69–71,28.0114/118,21.883/87,w.UP,15.240/44,w.UP,–,–,–,–,–,–,–,24.084/88,4.0
8,GESOP/El Periòdic[p 8],22 Jun 2016,900,69–71,28.2114/118,21.783/87,w.UP,15.240/44,w.UP,–,–,–,–,–,–,–,23.683/87,4.6
9,NC Report[p 3],21 Jun 2016,?,?,31.3126/131,21.481/84,w.UP,13.232/35,w.UP,2.38/9,1.76/7,1.15/6,–,0.72,0.31,–,25.181/86,6.2
10,GESOP/El Periòdic[p 9],21 Jun 2016,900,68–70,28.5115/119,21.582/86,w.UP,15.240/44,w.UP,–,–,–,–,–,–,–,23.783/87,4.8
11,GESOP/El Periòdic[p 10],20 Jun 2016,900,69–71,29.0116/120,21.582/86,w.UP,14.938/42,w.UP,–,–,–,–,–,–,–,23.783/87,5.3
